"Story","Title","Result","Date","Stability","Duration (s)"
"Retrieve org service details integration test","Return org service details by ccd service name200","SUCCESS","2021-04-30T11:52:21.028959+01:00[Europe/London]","0.0","1.17"
"Retrieve org service details integration test","Returns org service details by service code with status code200","SUCCESS","2021-04-30T11:52:22.234227+01:00[Europe/London]","0.0","0.08"
"Retrieve org service details integration test","Returns launch darkly forbidden when delete minimal pending organisation with invalid flag","SUCCESS","2021-04-30T11:52:22.312396+01:00[Europe/London]","0.0","0.09"
"Retrieve org service details integration test","Return org service details by ccd case type code200","SUCCESS","2021-04-30T11:52:22.405602+01:00[Europe/London]","0.0","0.05"
"Retrieve org service details integration test","Return org service details by ccd service name not found404","SUCCESS","2021-04-30T11:52:22.456138+01:00[Europe/London]","0.0","0.04"
"Retrieve org service details integration test","Do not return org service details by unknown ccd case type code 404","SUCCESS","2021-04-30T11:52:22.498305+01:00[Europe/London]","0.0","0.04"
"Retrieve org service details integration test","Return org service details by ccd service name all200","SUCCESS","2021-04-30T11:52:22.535676+01:00[Europe/London]","0.0","0.06"
"Retrieve org service details integration test","Return org service details by ccd case type ignore case code200","SUCCESS","2021-04-30T11:52:22.600285+01:00[Europe/London]","0.0","0.04"
"Retrieve org service details integration test","Do not return org service details by unknown service code 404","SUCCESS","2021-04-30T11:52:22.640593+01:00[Europe/London]","0.0","0.04"
"Retrieve org service details integration test","Returns org service details without input params 200","SUCCESS","2021-04-30T11:52:22.679292+01:00[Europe/London]","0.0","0.05"
